Measures
atan2 beta -169.695156 val :0.000000 
atan2 beta -172.234837 val :0.000000 
atan2 beta -174.805574 val :0.000000 
atan2 beta -177.397441 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 177.397441 val :0.000000 
atan2 beta 174.805574 val :0.000000 
atan2 beta 172.234837 val :0.000000 
atan2 beta 169.695156 val :0.000000 
atan2 beta 167.195737 val :0.000000 
atan2 beta 164.744884 val :0.000000 
atan2 beta 162.349879 val :0.000000 
atan2 beta 160.016896 val :0.000000 
atan2 beta 157.750979 val :0.000000 
atan2 beta 155.556048 val :0.000000 
atan2 beta 153.434951 val :0.000000 
atan2 beta 151.389543 val :0.000000 
atan2 beta 149.420776 val :0.000000 
atan2 beta 147.528810 val :0.000000 
atan2 beta 145.713126 val :0.000000 
atan2 beta 143.972629 val :0.000000 
atan2 beta 142.305762 val :0.000000 
atan2 beta 140.710596 val :0.000000 
atan2 beta 139.184918 val :0.000000 
atan2 beta 137.726313 val :0.000000 
atan2 beta 136.332222 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.726972 val :0.000000 
atan2 beta 132.510449 val :0.000000 
atan2 beta 131.347779 val :0.000000 
atan2 beta -130.030261 val :0.000000 
atan2 beta -131.185927 val :0.000000 
atan2 beta -132.397440 val :0.000000 
atan2 beta -133.667782 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.397183 val :0.000000 
atan2 beta -137.862408 val :0.000000 
atan2 beta -139.398708 val :0.000000 
atan2 beta -141.009008 val :0.000000 
atan2 beta -142.696054 val :0.000000 
atan2 beta -144.462325 val :0.000000 
atan2 beta -146.309935 val :0.000000 
atan2 beta -148.240522 val :0.000000 
atan2 beta -150.255121 val :0.000000 
atan2 beta -152.354027 val :0.000000 
atan2 beta -154.536658 val :0.000000 
atan2 beta -156.801412 val :0.000000 
atan2 beta -159.145545 val :0.000000 
atan2 beta -161.565054 val :0.000000 
atan2 beta -164.054607 val :0.000000 
atan2 beta -166.607505 val :0.000000 
atan2 beta -169.215705 val :0.000000 
atan2 beta -171.869901 val :0.000000 
atan2 beta -174.559671 val :0.000000 
atan2 beta -177.273692 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 177.273692 val :0.000000 
atan2 beta 174.559671 val :0.000000 
atan2 beta 171.869901 val :0.000000 
atan2 beta 169.215705 val :0.000000 
atan2 beta 166.607505 val :0.000000 
atan2 beta 164.054607 val :0.000000 
atan2 beta 161.565054 val :0.000000 
atan2 beta 159.145545 val :0.000000 
atan2 beta 156.801412 val :0.000000 
atan2 beta 154.536658 val :0.000000 
atan2 beta 152.354027 val :0.000000 
atan2 beta 150.255121 val :0.000000 
atan2 beta 148.240522 val :0.000000 
atan2 beta 146.309935 val :0.000000 
atan2 beta 144.462325 val :0.000000 
